County_Name,Pct_White_16,Pct_Trump_16,HH_Inc_12,HH_Inc_16,Region,Region_Abv
"Alameda County, California",32.63091532,14.66100944,67385.951,70804.67234,Bay Area,Bay
"Alpine County, California",67.90540541,36.04651163,,,Northern California,NorCal
"Amador County, California",79.63639315,59.12371715,50374.5695,50583.50857,Northern California,NorCal
"Butte County, California",73.43228648,47.23954627,40836.17275,39349.62725,Northern California,NorCal
"Calaveras County, California",82.29396923,58.39816736,51527.8835,47452.63844,Northern California,NorCal
"Colusa County, California",36.89434015,53.54342581,49152.47125,48733.36832,Northern California,NorCal
"Contra Costa County, California",45.56192883,24.87392074,73671.70075,73509.81508,Bay Area,Bay
"Del Norte County, California",63.07731287,53.71416614,37337.5985,37573.10236,Northern California,NorCal
"El Dorado County, California",78.72622951,52.61937579,66067.74325,64378.84965,Northern California,NorCal
"Fresno County, California",30.75968686,43.9393027,43099.45725,40766.05773,Central California,Central
"Glenn County, California",53.06334001,61.11932418,40178.48225,36984.17948,Northern California,NorCal
"Humboldt County, California",75.38281724,31.0113763,38472.0675,37858.69448,Northern California,NorCal
"Imperial County, California",11.93130023,26.41658522,38872.52375,37747.82797,Southern California,SoCal
"Inyo County, California",64.02379133,52.5352461,,,Central California,Central
"Kern County, California",36.03462265,53.07274239,44970.76575,44158.57281,Central California,Central
"Kings County, California",33.63214673,53.34807607,45945.05225,41899.55689,Central California,Central
"Lake County, California",72.25950434,43.2682887,35944.01075,32046.62876,Northern California,NorCal
"Lassen County, California",66.05415558,71.96883314,48922.56225,45638.8624,Northern California,NorCal
"Los Angeles County, California",26.72512256,22.41333625,52993.08225,51399.48605,Southern California,SoCal
"Madera County, California",35.78824511,54.17749119,45168.63825,40570.04575,Central California,Central
"Marin County, California",71.85473361,15.63188845,85708.9445,88968.15375,Bay Area,Bay
"Mariposa County, California",81.50184188,58.40937254,,,Central California,Central
"Mendocino County, California",66.37531604,29.05248552,41196.11225,38590.41342,Northern California,NorCal
"Merced County, California",29.47875668,40.57833844,41049.12125,39377.12214,Central California,Central
"Modoc County, California",77.64862172,71.17212249,,,Northern California,NorCal
"Mono County, California",65.86008113,40.01137225,,,Northern California,NorCal
"Monterey County, California",31.0612946,26.1566023,56669.74175,54004.40548,Central California,Central
"Napa County, California",53.71778758,28.36961481,65553.27475,66173.11318,Bay Area,Bay
"Nevada County, California",85.63448535,42.53208337,54068.1895,50935.62059,Northern California,NorCal
"Orange County, California",41.97265127,42.34982101,71202.0635,69309.3049,Southern California,SoCal
"Placer County, California",74.26916839,52.03375647,69119.691,68228.13474,Northern California,NorCal
"Plumas County, California",83.69947744,56.01488218,42738.5755,44457.46891,Northern California,NorCal
"Riverside County, California",37.2491923,44.35014526,53798.706,51417.2247,Southern California,SoCal
"Sacramento County, California",46.37003988,33.93148946,52620.8935,51006.57516,Central California,Central
"San Benito County, California",36.14752545,35.76445904,60246.52275,65468.0022,Central California,Central
"San Bernardino County, California",30.51072883,41.47508421,51588.1875,48310.30173,Southern California,SoCal
"San Diego County, California",46.71188766,36.571188,59713.20925,59006.70223,Southern California,SoCal
"San Francisco County, California",41.17316373,9.287516757,69539.9345,77784.82756,Bay Area,Bay
"San Joaquin County, California",33.85627955,39.67417003,50782.56375,48821.17459,Central California,Central
"San Luis Obispo County, California",69.68601981,41.60018962,56184.483,56776.06813,Central California,Central
"San Mateo County, California",40.42713594,18.42619217,82683.37975,87403.60562,Bay Area,Bay
"Santa Barbara County, California",45.93497878,31.88318079,59100.74675,57793.37919,Southern California,SoCal
"Santa Clara County, California",33.16707833,20.58038195,85506.36075,89733.57611,Bay Area,Bay
"Santa Cruz County, California",58.18898539,17.41796757,62726.52475,62163.29339,Bay Area,Bay
"Shasta County, California",80.95498471,64.67964973,41832.131,40428.13662,Northern California,NorCal
"Sierra County, California",85.94336404,57.26775956,,,Northern California,NorCal
"Siskiyou County, California",77.62205734,55.3435487,35756.503,34168.17022,Northern California,NorCal
"Solano County, California",39.43262973,31.25583187,65020.9035,61399.6449,Bay Area,Bay
"Sonoma County, California",64.39964964,22.23019809,59894.12125,59276.32957,Bay Area,Bay
"Stanislaus County, California",44.12103415,45.59734179,46986.2385,45757.7113,Central California,Central
"Sutter County, California",47.95295893,54.2194911,47593.0475,46956.84343,Northern California,NorCal
"Tehama County, California",69.82623185,64.80675924,37979.27075,36086.60424,Northern California,NorCal
"Trinity County, California",82.97420334,49.45480127,,,Northern California,NorCal
"Tulare County, California",30.09353422,51.89791159,41273.37675,37950.93541,Central California,Central
"Tuolumne County, California",81.21008466,56.99792393,45387.24025,44994.94974,Northern California,NorCal
"Ventura County, California",46.64883586,37.62104593,72066.10675,69706.65046,Southern California,SoCal
"Yolo County, California",48.0867645,25.26373493,53953.235,51143.16269,Northern California,NorCal
"Yuba County, California",57.03885137,57.2658492,43947.48225,43228.1811,Northern California,NorCal
